Categ;TípoProd;CodProd;DescProd;TipoGen;Caract
CE;ALMACENAMIENTO;1597044;ALMACENAMIENTO: 250 GB M.2 SSD/1 TB HDD 7200 RPM;ALMACENAMIENTO;250 GB M.2 SSD/1 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597041;ALMACENAMIENTO: 250 GB SSD/1 TB HDD 7200 RPM;ALMACENAMIENTO;250 GB SSD/1 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597916;ALMACENAMIENTO: 250 GB SSD/1 TB HDD 7200 RPM;ALMACENAMIENTO;250 GB SSD/1 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597920;ALMACENAMIENTO: 250 GB SSD/2 TB HDD 7200 RPM;ALMACENAMIENTO;250 GB SSD/2 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597880;ALMACENAMIENTO: 256 GB M.2 SSD;ALMACENAMIENTO;256 GB M.2 SSD
CE;ALMACENAMIENTO;1597882;ALMACENAMIENTO: 256 GB M.2 SSD/ 1 TB HDD 7200 RPM;ALMACENAMIENTO;256 GB M.2 SSD/ 1 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597879;ALMACENAMIENTO: 256 GB M.2 SSD/ 2 TB HDD 7200 RPM;ALMACENAMIENTO;256 GB M.2 SSD/ 2 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597881;ALMACENAMIENTO: 256 GB M.2 SSD/ 500 GB HDD 7200 RPM;ALMACENAMIENTO;256 GB M.2 SSD/ 500 GB HDD 7200 RPM
CE;ALMACENAMIENTO;1597036;ALMACENAMIENTO: 256 GB SATA SSD;ALMACENAMIENTO;256 GB SATA SSD
CE;ALMACENAMIENTO;1597843;ALMACENAMIENTO: 256 GB SSD;ALMACENAMIENTO;256 GB SSD
CE;ALMACENAMIENTO;1597898;ALMACENAMIENTO: 256 GB SSD/1 TB HDD 5400 RPM;ALMACENAMIENTO;256 GB SSD/1 TB HDD 5400 RPM
CE;ALMACENAMIENTO;1597860;ALMACENAMIENTO: 256 GB SSD/1 TB HDD 7200 RPM;ALMACENAMIENTO;256 GB SSD/1 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597895;ALMACENAMIENTO: 256 GB SSD/2 TB HDD 7200 RPM;ALMACENAMIENTO;256 GB SSD/2 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597858;ALMACENAMIENTO: 3 TB HDD 7200 RPM;ALMACENAMIENTO;3 TB HDD 7200 RPM
CE;ALMACENAMIENTO;1597848;ALMACENAMIENTO: 3.84 TB SSD;ALMACENAMIENTO;3.84 TB SSD
CE;RAM;1597799;RAM: 32 GB DDR3 1600 200 MHz;RAM;32 GB DDR3 1600 200 MHz
CE;RAM;1597811;RAM: 32 GB DDR3 1866 233 MHz;RAM;32 GB DDR3 1866 233 MHz
CE;RAM;1597821;RAM: 32 GB DDR3 2133 266 MHz;RAM;32 GB DDR3 2133 266 MHz
CE;RAM;1597803;RAM: 32 GB DDR4 2133 266 MHz;RAM;32 GB DDR4 2133 266 MHz
CE;RAM;1597824;RAM: 32 GB DDR4 2400 300 MHz;RAM;32 GB DDR4 2400 300 MHz
CE;RAM;1597002;RAM: 32 GB DDR4 2400 MHz;RAM;32 GB DDR4 2400 MHz
CE;RAM;1597794;RAM: 32 GB DDR4 2666 333 MHz;RAM;32 GB DDR4 2666 333 MHz
CE;RAM;1596993;RAM: 32 GB DDR4 2666 MHz;RAM;32 GB DDR4 2666 MHz
CE;RAM;1597776;RAM: 32 GB DDR4 2933 366 MHz;RAM;32 GB DDR4 2933 366 MHz
