"Categ";"CodCaract";"Caract";"CodValCaract";"ValCaract"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26927;"TEMPERATURA_OPERATIVA";1717935;"TEMPERATURA OPERATIVA: DE 0°C A 70°C"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26928;"TEMPERATURA_DE_ALMACENAMIENTO";1720415;"TEMPERATURA ALMACENAMIENTO: DE -40 °C a 85 °C"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26929;"ALTURA_MAXIMA_DE_FUNCIONAMIENTO_MSNM";1720419;"ALTURA MAXIMA FUNCIONAMIENTO: 2000 MSNM"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26930;"HUMEDAD_RELATIVA";1801776;"HUMEDAD RELATIVA: 58%"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26930;"HUMEDAD_RELATIVA";1720421;"HUMEDAD RELATIVA: 93%"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26931;"GARANTIA_DE_FABRICA";1717939;"G.F: 48 MESES CARRY IN"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26931;"GARANTIA_DE_FABRICA";1717937;"G.F: 36 MESES CARRY IN"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26932;"EMPAQUE_DE_FABRICA";1717947;"EMPAQUE: CAJA"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26932;"EMPAQUE_DE_FABRICA";1720668;"EMPAQUE: BLISTER"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26932;"EMPAQUE_DE_FABRICA";1720669;"EMPAQUE: OTRO"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26934;"COMPONENTES_Y_ACCESORIOS";1720481;"COMPONENTES Y ACCESORIOS: SI INCLUYE"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26934;"COMPONENTES_Y_ACCESORIOS";1720482;"COMPONENTES Y ACCESORIOS: NO INCLUYE"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26933;"CERTIFICADOS";1717951;"CERTIFICACION: CE"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26933;"CERTIFICADOS";1717950;"CERTIFICACION: FCC"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26933;"CERTIFICADOS";1717953;"CERTIFICACION: KCC"
"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26933;"CERTIFICADOS";1717948;"CERTIFICACION: ROHS"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1740437;"PROCESADOR: INTEL CORE I3-13100"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1740443;"PROCESADOR: INTEL CORE I7-13700"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1740440;"PROCESADOR: INTEL CORE I5-13400F"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1740444;"PROCESADOR: INTEL CORE I7-13700F"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1740445;"PROCESADOR: INTEL CORE I9-13900KF"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1722219;"PROCESADOR: INTEL CORE I9-13900K"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";2489430;"PROCESADOR: INTEL CORE I5-14600K"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";2489431;"PROCESADOR: INTEL CORE I7-14700K"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";2489432;"PROCESADOR: INTEL CORE I9-14900K"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597464;"PROCESADOR: INTEL COREI3-4100E"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597465;"PROCESADOR: INTEL COREI5-4400E"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597466;"PROCESADOR: INTEL COREI5-6440EQ"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597467;"PROCESADOR INTEL COREI7-2710QE"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597468;"PROCESADOR INTEL COREI3-2330E"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597469;"PROCESADOR INTEL COREI7-4700EQ"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597470;"PROCESADOR: INTEL CORE I7-8700"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597471;"PROCESADOR: INTEL CORE I7-8700K"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597472;"PROCESADOR: AMD A8-9600"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597473;"PROCESADOR INTEL CORE I3-8350K"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597475;"PROCESADOR: INTEL CORE I5-8600K"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597476;"PROCESADOR: AMD RYZEN 7 1700"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597477;"PROCESADOR: AMD RYZEN 5-1400"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597478;"PROCESADOR: INTEL CORE I3-8100"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597479;"PROCESADOR: INTEL CORE I3-3240"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597480;"PROCESADOR: INTEL CELERON N3050"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597481;"PROCESADOR: AMD A8-6600K"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597482;"PROCESADOR: INTEL CELERON 1037U"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597483;"PROCESADOR: INTEL CORE I5-7600"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597484;"PROCESADOR: AMD ATHLON 5150"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597485;"PROCESADOR: INTEL CORE I5-4430"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597486;"PROCESADOR: INTEL CORE I5-6402P"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597487;"PROCESADOR: INTEL CORE I3-4360"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597488;"PROCESADOR: INTEL CORE I3-6098P"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597489;"PROCESADOR: INTEL CORE I5-4690S"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597490;"PROCESADOR: AMD A4-7300"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597491;"PROCESADOR: AMD A8-6410"
