"id";"CorrBas36";"CodigoCorrelativo";"Categ";"CodCaract";"Caract";"CodValCaract";"ValCaract";"CleanValCaract";"Serializd";"PreTextValOnly";"ValueOnly"
36;"10";"0000000010";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26920;"VELOCIDAD_DE_TRANSFERENCIA_DE_DATOS";1717910;"VELOCIDAD ESCRITURA: 201 MB/s A 500 MB/s";"VELOCIDAD ESCRITURA: 201 MB/s A 500 MB/s";"VELOCIDAD ESCRITURA: 201 MB/s A 500 MB/s";"VELOCIDAD ESCRITURA";"201 MB/s A 500 MB/s"
37;"11";"0000000011";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26920;"VELOCIDAD_DE_TRANSFERENCIA_DE_DATOS";1717914;"VELOCIDAD ESCRITURA: 51 MB/s A 200 MB/s";"VELOCIDAD ESCRITURA: 51 MB/s A 200 MB/s";"VELOCIDAD ESCRITURA: 51 MB/s A 200 MB/s";"VELOCIDAD ESCRITURA";"51 MB/s A 200 MB/s"
38;"12";"0000000012";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26921;"VELOCIDAD_DE_TRANSFERENCIA_DE_DATOS_LECTURA";1717919;"VELOCIDAD LECTURA: 1 MB/s A 50 MB/s";"VELOCIDAD LECTURA: 1 MB/s A 50 MB/s";"VELOCIDAD LECTURA: 1 MB/s A 50 MB/s";"VELOCIDAD LECTURA";"1 MB/s A 50 MB/s"
39;"13";"0000000013";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26921;"VELOCIDAD_DE_TRANSFERENCIA_DE_DATOS_LECTURA";1717920;"VELOCIDAD LECTURA: 51 MB/s A 200 MB/s";"VELOCIDAD LECTURA: 51 MB/s A 200 MB/s";"VELOCIDAD LECTURA: 51 MB/s A 200 MB/s";"VELOCIDAD LECTURA";"51 MB/s A 200 MB/s"
40;"14";"0000000014";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26921;"VELOCIDAD_DE_TRANSFERENCIA_DE_DATOS_LECTURA";1720403;"VELOCIDAD LECTURA: 401 MB/s A 2000 MB/s";"VELOCIDAD LECTURA: 401 MB/s A 2000 MB/s";"VELOCIDAD LECTURA: 401 MB/s A 2000 MB/s";"VELOCIDAD LECTURA";"401 MB/s A 2000 MB/s"
41;"15";"0000000015";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26921;"VELOCIDAD_DE_TRANSFERENCIA_DE_DATOS_LECTURA";1717921;"VELOCIDAD LECTURA: 2001 MB/s A 5000 MB/s";"VELOCIDAD LECTURA: 2001 MB/s A 5000 MB/s";"VELOCIDAD LECTURA: 2001 MB/s A 5000 MB/s";"VELOCIDAD LECTURA";"2001 MB/s A 5000 MB/s"
42;"16";"0000000016";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26921;"VELOCIDAD_DE_TRANSFERENCIA_DE_DATOS_LECTURA";1717924;"VELOCIDAD LECTURA: 201 MB/s A 400 MB/s";"VELOCIDAD LECTURA: 201 MB/s A 400 MB/s";"VELOCIDAD LECTURA: 201 MB/s A 400 MB/s";"VELOCIDAD LECTURA";"201 MB/s A 400 MB/s"
43;"17";"0000000017";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26922;"LARGO";1801774;"LARGO: 100.5 MM";"LARGO: 100.5 MM";"LARGO: 100.5 MM";"LARGO";"100.5 MM"
44;"18";"0000000018";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26922;"LARGO";1720405;"LARGO: 80 MM";"LARGO: 80 MM";"LARGO: 80 MM";"LARGO";"80 MM"
45;"19";"0000000019";"DISPOSITIVOS DE ALMACENAMIENTO INTERNO";26922;"LARGO";2627694;"LARGO: 100 MM";"LARGO: 100 MM";"LARGO: 100 MM";"LARGO";"100 MM"
