"id";"CorrBas36";"CodigoCorrelativo";"Categ";"CodCaract";"Caract";"CodValCaract";"ValCaract";"CleanValCaract";"Serializd";"PreTextValOnly";"ValueOnly"
2681;"22H";"000000022H";"MEMORIA FLASH USB";26440;"MARCA";1717865;"MARCA: SANDISK";"MARCA: SANDISK";"MARCA: SANDISK";"MARCA";"SANDISK"
2682;"22I";"000000022I";"MEMORIA FLASH USB";26440;"MARCA";1937454;"MARCA: JFA TECHNOLOGY";"MARCA: JFA TECHNOLOGY";"MARCA: JFA TECHNOLOGY";"MARCA";"JFA TECHNOLOGY"
2683;"22J";"000000022J";"MEMORIA FLASH USB";26440;"MARCA";1937469;"MARCA: WESTERN DIGITAL";"MARCA: WESTERN DIGITAL";"MARCA: WESTERN DIGITAL";"MARCA";"WESTERN DIGITAL"
2684;"22K";"000000022K";"MEMORIA FLASH USB";26440;"MARCA";2501127;"MARCA: QOSOFT";"MARCA: QOSOFT";"MARCA: QOSOFT";"MARCA";"QOSOFT"
2685;"22L";"000000022L";"MEMORIA FLASH USB";26440;"MARCA";1973318;"MARCA: KINGSTON";"MARCA: KINGSTON";"MARCA: KINGSTON";"MARCA";"KINGSTON"
2686;"22M";"000000022M";"MEMORIA FLASH USB";26442;"UNIDAD_DE_DESPACHO";1698756;"U. DESPACHO: UNIDAD";"U. DESPACHO: UNIDAD";"U. DESPACHO: UNIDAD";"U. DESPACHO";"UNIDAD"
2687;"22N";"000000022N";"MEMORIA FLASH USB";26443;"CAPACIDAD";1698757;"CAPACIDAD: 32 GB";"CAPACIDAD: 32 GB";"CAPACIDAD: 32 GB";"CAPACIDAD";"32 GB"
2688;"22O";"000000022O";"MEMORIA FLASH USB";26443;"CAPACIDAD";1698758;"CAPACIDAD: 64 GB";"CAPACIDAD: 64 GB";"CAPACIDAD: 64 GB";"CAPACIDAD";"64 GB"
2689;"22P";"000000022P";"MEMORIA FLASH USB";26443;"CAPACIDAD";1698759;"CAPACIDAD: 128 GB";"CAPACIDAD: 128 GB";"CAPACIDAD: 128 GB";"CAPACIDAD";"128 GB"
2690;"22Q";"000000022Q";"MEMORIA FLASH USB";26443;"CAPACIDAD";1698760;"CAPACIDAD: 1 TB";"CAPACIDAD: 1 TB";"CAPACIDAD: 1 TB";"CAPACIDAD";"1 TB"
2691;"22R";"000000022R";"MEMORIA FLASH USB";26443;"CAPACIDAD";1698761;"CAPACIDAD: 16 GB";"CAPACIDAD: 16 GB";"CAPACIDAD: 16 GB";"CAPACIDAD";"16 GB"
2692;"22S";"000000022S";"MEMORIA FLASH USB";26443;"CAPACIDAD";1698762;"CAPACIDAD: 256 GB";"CAPACIDAD: 256 GB";"CAPACIDAD: 256 GB";"CAPACIDAD";"256 GB"
2693;"22T";"000000022T";"MEMORIA FLASH USB";26443;"CAPACIDAD";1698763;"CAPACIDAD: 512 GB";"CAPACIDAD: 512 GB";"CAPACIDAD: 512 GB";"CAPACIDAD";"512 GB"
2694;"22U";"000000022U";"MEMORIA FLASH USB";26444;"INTERFAZ_CON_EL_ORDENADOR";1698764;"INTERFAZ: USB 5.0";"INTERFAZ: USB 5.0";"INTERFAZ: USB 5.0";"INTERFAZ";"USB 5.0"
2695;"22V";"000000022V";"MEMORIA FLASH USB";26444;"INTERFAZ_CON_EL_ORDENADOR";1698765;"INTERFAZ: USB 2.0";"INTERFAZ: USB 2.0";"INTERFAZ: USB 2.0";"INTERFAZ";"USB 2.0"
2696;"22W";"000000022W";"MEMORIA FLASH USB";26444;"INTERFAZ_CON_EL_ORDENADOR";1698766;"INTERFAZ: USB 3.0";"INTERFAZ: USB 3.0";"INTERFAZ: USB 3.0";"INTERFAZ";"USB 3.0"
2697;"22X";"000000022X";"MEMORIA FLASH USB";26444;"INTERFAZ_CON_EL_ORDENADOR";1698767;"INTERFAZ: USB 3.1";"INTERFAZ: USB 3.1";"INTERFAZ: USB 3.1";"INTERFAZ";"USB 3.1"
2698;"22Y";"000000022Y";"MEMORIA FLASH USB";26444;"INTERFAZ_CON_EL_ORDENADOR";1698768;"INTERFAZ: USB 3.2";"INTERFAZ: USB 3.2";"INTERFAZ: USB 3.2";"INTERFAZ";"USB 3.2"
2699;"22Z";"000000022Z";"MEMORIA FLASH USB";26444;"INTERFAZ_CON_EL_ORDENADOR";1698769;"INTERFAZ: USB 4.0";"INTERFAZ: USB 4.0";"INTERFAZ: USB 4.0";"INTERFAZ";"USB 4.0"
2700;"230";"0000000230";"MEMORIA FLASH USB";26445;"TIPO_DE_CONEXION";1698770;"CONEXION: TIPO A";"CONEXION: TIPO A";"CONEXION: TIPO A";"CONEXION";"TIPO A"
2701;"231";"0000000231";"MEMORIA FLASH USB";26445;"TIPO_DE_CONEXION";1698771;"CONEXION: TIPO C";"CONEXION: TIPO C";"CONEXION: TIPO C";"CONEXION";"TIPO C"
2702;"232";"0000000232";"MEMORIA FLASH USB";26445;"TIPO_DE_CONEXION";1780261;"CONEXION: ULTRA DUAL - TIPO A Y MICRO USB";"CONEXION: ULTRA DUAL - TIPO A Y MICRO USB";"CONEXION: ULTRA DUAL - TIPO A Y MICRO USB";"CONEXION";"ULTRA DUAL - TIPO A Y MICRO USB"
2703;"233";"0000000233";"MEMORIA FLASH USB";26446;"MATERIAL_DE_CARCASA";1698772;"CARCASA DE PLASTICO";"CARCASA DE PLASTICO";"MATERIAL_DE_CARCASA: CARCASA DE PLASTICO";"MATERIAL_DE_CARCASA";"CARCASA DE PLASTICO"
2704;"234";"0000000234";"MEMORIA FLASH USB";26446;"MATERIAL_DE_CARCASA";1698773;"CARCASA DE METAL";"CARCASA DE METAL";"MATERIAL_DE_CARCASA: CARCASA DE METAL";"MATERIAL_DE_CARCASA";"CARCASA DE METAL"
2705;"235";"0000000235";"MEMORIA FLASH USB";26905;"SOPORTE_DE_ENCRIPTACION";1717783;"ENCRIPTACION: NO";"ENCRIPTACION: NO";"ENCRIPTACION: NO";"ENCRIPTACION";"NO"
2706;"236";"0000000236";"MEMORIA FLASH USB";26905;"SOPORTE_DE_ENCRIPTACION";1717782;"ENCRIPTACION: SI";"ENCRIPTACION: SI";"ENCRIPTACION: SI";"ENCRIPTACION";"SI"
2707;"237";"0000000237";"MEMORIA FLASH USB";26906;"VELOCIDAD_DE_ESCRITURA";1717785;"VELOCIDAD ESCRITURA: HASTA 60 MB/s";"VELOCIDAD ESCRITURA: HASTA 60 MB/s";"VELOCIDAD ESCRITURA: HASTA 60 MB/s";"VELOCIDAD ESCRITURA";"HASTA 60 MB/s"
2708;"238";"0000000238";"MEMORIA FLASH USB";26906;"VELOCIDAD_DE_ESCRITURA";1717790;"VELOCIDAD ESCRITURA: DE 130 MB/s A 240 MB/s";"VELOCIDAD ESCRITURA: DE 130 MB/s A 240 MB/s";"VELOCIDAD ESCRITURA: DE 130 MB/s A 240 MB/s";"VELOCIDAD ESCRITURA";"DE 130 MB/s A 240 MB/s"
2709;"239";"0000000239";"MEMORIA FLASH USB";26906;"VELOCIDAD_DE_ESCRITURA";1717794;"VELOCIDAD ESCRITURA: DE 250 MB/s A 500 MB/s";"VELOCIDAD ESCRITURA: DE 250 MB/s A 500 MB/s";"VELOCIDAD ESCRITURA: DE 250 MB/s A 500 MB/s";"VELOCIDAD ESCRITURA";"DE 250 MB/s A 500 MB/s"
2710;"23A";"000000023A";"MEMORIA FLASH USB";26906;"VELOCIDAD_DE_ESCRITURA";1717789;"VELOCIDAD ESCRITURA: DE 70 MB/s A 120 MB/s";"VELOCIDAD ESCRITURA: DE 70 MB/s A 120 MB/s";"VELOCIDAD ESCRITURA: DE 70 MB/s A 120 MB/s";"VELOCIDAD ESCRITURA";"DE 70 MB/s A 120 MB/s"
2711;"23B";"000000023B";"MEMORIA FLASH USB";26906;"VELOCIDAD_DE_ESCRITURA";1717795;"VELOCIDAD ESCRITURA: DE 600 MB/s A 1000 MB/s";"VELOCIDAD ESCRITURA: DE 600 MB/s A 1000 MB/s";"VELOCIDAD ESCRITURA: DE 600 MB/s A 1000 MB/s";"VELOCIDAD ESCRITURA";"DE 600 MB/s A 1000 MB/s"
2712;"23C";"000000023C";"MEMORIA FLASH USB";26907;"VELOCIDAD_DE_LECTURA";1717814;"VELOCIDAD DE LECTURA: HASTA 290 MB/s";"VELOCIDAD DE LECTURA: HASTA 290 MB/s";"VELOCIDAD DE LECTURA: HASTA 290 MB/s";"VELOCIDAD DE LECTURA";"HASTA 290 MB/s"
2713;"23D";"000000023D";"MEMORIA FLASH USB";26907;"VELOCIDAD_DE_LECTURA";1717816;"VELOCIDAD DE LECTURA: DE 300 MB/s A 1000 MB/s";"VELOCIDAD DE LECTURA: DE 300 MB/s A 1000 MB/s";"VELOCIDAD DE LECTURA: DE 300 MB/s A 1000 MB/s";"VELOCIDAD DE LECTURA";"DE 300 MB/s A 1000 MB/s"
2714;"23E";"000000023E";"MEMORIA FLASH USB";26907;"VELOCIDAD_DE_LECTURA";1717820;"VELOCIDAD DE LECTURA: DE 1 GBPS A 3.2 GBPS";"VELOCIDAD DE LECTURA: DE 1 GBPS A 3.2 GBPS";"VELOCIDAD DE LECTURA: DE 1 GBPS A 3.2 GBPS";"VELOCIDAD DE LECTURA";"DE 1 GBPS A 3.2 GBPS"
2715;"23F";"000000023F";"MEMORIA FLASH USB";26907;"VELOCIDAD_DE_LECTURA";1717821;"VELOCIDAD DE LECTURA: DE 3.3 GBPS A 5 GBPS";"VELOCIDAD DE LECTURA: DE 3.3 GBPS A 5 GBPS";"VELOCIDAD DE LECTURA: DE 3.3 GBPS A 5 GBPS";"VELOCIDAD DE LECTURA";"DE 3.3 GBPS A 5 GBPS"
2716;"23G";"000000023G";"MEMORIA FLASH USB";26907;"VELOCIDAD_DE_LECTURA";1717823;"VELOCIDAD DE LECTURA: DE 7 GBPS A 10 GBPS";"VELOCIDAD DE LECTURA: DE 7 GBPS A 10 GBPS";"VELOCIDAD DE LECTURA: DE 7 GBPS A 10 GBPS";"VELOCIDAD DE LECTURA";"DE 7 GBPS A 10 GBPS"
2717;"23H";"000000023H";"MEMORIA FLASH USB";26907;"VELOCIDAD_DE_LECTURA";1780255;"VELOCIDAD DE LECTURA: HASTA 150 MB/s";"VELOCIDAD DE LECTURA: HASTA 150 MB/s";"VELOCIDAD DE LECTURA: HASTA 150 MB/s";"VELOCIDAD DE LECTURA";"HASTA 150 MB/s"
2718;"23I";"000000023I";"MEMORIA FLASH USB";26908;"LARGO";1720199;"LARGO: 55 MM";"LARGO: 55 MM";"LARGO: 55 MM";"LARGO";"55 MM"
2719;"23J";"000000023J";"MEMORIA FLASH USB";26908;"LARGO";1720200;"LARGO: 54.6 MM";"LARGO: 54.6 MM";"LARGO: 54.6 MM";"LARGO";"54.6 MM"
2720;"23K";"000000023K";"MEMORIA FLASH USB";26908;"LARGO";1720201;"LARGO: 63 MM";"LARGO: 63 MM";"LARGO: 63 MM";"LARGO";"63 MM"
2721;"23L";"000000023L";"MEMORIA FLASH USB";26908;"LARGO";1717826;"LARGO: 40 MM+/- 20%";"LARGO: 40 MM+/- 20%";"LARGO: 40 MM+/- 20%";"LARGO";"40 MM+/- 20%"
2722;"23M";"000000023M";"MEMORIA FLASH USB";26908;"LARGO";1717827;"LARGO: 25 MM +/- 20%";"LARGO: 25 MM +/- 20%";"LARGO: 25 MM +/- 20%";"LARGO";"25 MM +/- 20%"
2723;"23N";"000000023N";"MEMORIA FLASH USB";26908;"LARGO";1720197;"LARGO: 60 MM";"LARGO: 60 MM";"LARGO: 60 MM";"LARGO";"60 MM"
2724;"23O";"000000023O";"MEMORIA FLASH USB";26908;"LARGO";1720202;"LARGO: 73 MM";"LARGO: 73 MM";"LARGO: 73 MM";"LARGO";"73 MM"
2725;"23P";"000000023P";"MEMORIA FLASH USB";26908;"LARGO";1717825;"LARGO: 80 MM +/- 20%";"LARGO: 80 MM +/- 20%";"LARGO: 80 MM +/- 20%";"LARGO";"80 MM +/- 20%"
2726;"23Q";"000000023Q";"MEMORIA FLASH USB";26908;"LARGO";1780250;"LARGO: 60.3 MM";"LARGO: 60.3 MM";"LARGO: 60.3 MM";"LARGO";"60.3 MM"
2727;"23R";"000000023R";"MEMORIA FLASH USB";26909;"ANCHO";1717828;"ANCHO: 12 MM +/- 20%";"ANCHO: 12 MM +/- 20%";"ANCHO: 12 MM +/- 20%";"ANCHO";"12 MM +/- 20%"
2728;"23S";"000000023S";"MEMORIA FLASH USB";26909;"ANCHO";1717829;"ANCHO: 20 MM +/- 20%";"ANCHO: 20 MM +/- 20%";"ANCHO: 20 MM +/- 20%";"ANCHO";"20 MM +/- 20%"
2729;"23T";"000000023T";"MEMORIA FLASH USB";26909;"ANCHO";1720206;"ANCHO: 19.5 MM";"ANCHO: 19.5 MM";"ANCHO: 19.5 MM";"ANCHO";"19.5 MM"
2730;"23U";"000000023U";"MEMORIA FLASH USB";26909;"ANCHO";1720207;"ANCHO: 19.2 MM";"ANCHO: 19.2 MM";"ANCHO: 19.2 MM";"ANCHO";"19.2 MM"
2731;"23V";"000000023V";"MEMORIA FLASH USB";26909;"ANCHO";1720208;"ANCHO: 21.3 MM";"ANCHO: 21.3 MM";"ANCHO: 21.3 MM";"ANCHO";"21.3 MM"
2732;"23W";"000000023W";"MEMORIA FLASH USB";26909;"ANCHO";1780252;"ANCHO: 15.8 MM";"ANCHO: 15.8 MM";"ANCHO: 15.8 MM";"ANCHO";"15.8 MM"
2733;"23X";"000000023X";"MEMORIA FLASH USB";26910;"ESPESOR";1717831;"ESPESOR: 12 MM +/- 20%";"ESPESOR: 12 MM +/- 20%";"ESPESOR: 12 MM +/- 20%";"ESPESOR";"12 MM +/- 20%"
2734;"23Y";"000000023Y";"MEMORIA FLASH USB";26910;"ESPESOR";1717830;"ESPESOR: 8 MM +/- 20%";"ESPESOR: 8 MM +/- 20%";"ESPESOR: 8 MM +/- 20%";"ESPESOR";"8 MM +/- 20%"
2735;"23Z";"000000023Z";"MEMORIA FLASH USB";26910;"ESPESOR";1780253;"ESPESOR: 5.72 MM";"ESPESOR: 5.72 MM";"ESPESOR: 5.72 MM";"ESPESOR";"5.72 MM"
2736;"240";"0000000240";"MEMORIA FLASH USB";26910;"ESPESOR";1720213;"ESPESOR: 8.3 MM";"ESPESOR: 8.3 MM";"ESPESOR: 8.3 MM";"ESPESOR";"8.3 MM"
2737;"241";"0000000241";"MEMORIA FLASH USB";26910;"ESPESOR";1720214;"ESPESOR: 10 MM";"ESPESOR: 10 MM";"ESPESOR: 10 MM";"ESPESOR";"10 MM"
2738;"242";"0000000242";"MEMORIA FLASH USB";26910;"ESPESOR";1720215;"ESPESOR: 8.9 MM";"ESPESOR: 8.9 MM";"ESPESOR: 8.9 MM";"ESPESOR";"8.9 MM"
2739;"243";"0000000243";"MEMORIA FLASH USB";26910;"ESPESOR";1720210;"ESPESOR: 9 MM";"ESPESOR: 9 MM";"ESPESOR: 9 MM";"ESPESOR";"9 MM"
2740;"244";"0000000244";"MEMORIA FLASH USB";26910;"ESPESOR";1720211;"ESPESOR: 10.2 MM";"ESPESOR: 10.2 MM";"ESPESOR: 10.2 MM";"ESPESOR";"10.2 MM"
2741;"245";"0000000245";"MEMORIA FLASH USB";26911;"PESO";1717832;"PESO: DE 5 GR A 15 GR";"PESO: DE 5 GR A 15 GR";"PESO: DE 5 GR A 15 GR";"PESO";"DE 5 GR A 15 GR"
2742;"246";"0000000246";"MEMORIA FLASH USB";26911;"PESO";1717833;"PESO: DE 15.1 GR A 25 GR";"PESO: DE 15.1 GR A 25 GR";"PESO: DE 15.1 GR A 25 GR";"PESO";"DE 15.1 GR A 25 GR"
2743;"247";"0000000247";"MEMORIA FLASH USB";26912;"COLOR_DE_CARCASA";1720218;"COLOR: AZUL CON BLANCO";"COLOR: AZUL CON BLANCO";"COLOR: AZUL CON BLANCO";"COLOR";"AZUL CON BLANCO"
2744;"248";"0000000248";"MEMORIA FLASH USB";26912;"COLOR_DE_CARCASA";1720220;"COLOR: BLANCO CON GRIS";"COLOR: BLANCO CON GRIS";"COLOR: BLANCO CON GRIS";"COLOR";"BLANCO CON GRIS"
2745;"249";"0000000249";"MEMORIA FLASH USB";26912;"COLOR_DE_CARCASA";1720221;"COLOR: NEGRO CON VERDE";"COLOR: NEGRO CON VERDE";"COLOR: NEGRO CON VERDE";"COLOR";"NEGRO CON VERDE"
2746;"24A";"000000024A";"MEMORIA FLASH USB";26912;"COLOR_DE_CARCASA";1720222;"COLOR: PLATA";"COLOR: PLATA";"COLOR: PLATA";"COLOR";"PLATA"
2747;"24B";"000000024B";"MEMORIA FLASH USB";26912;"COLOR_DE_CARCASA";1717834;"COLOR: NEGRO";"COLOR: NEGRO";"COLOR: NEGRO";"COLOR";"NEGRO"
2748;"24C";"000000024C";"MEMORIA FLASH USB";26912;"COLOR_DE_CARCASA";1717835;"COLOR: PLOMO";"COLOR: PLOMO";"COLOR: PLOMO";"COLOR";"PLOMO"
2749;"24D";"000000024D";"MEMORIA FLASH USB";26912;"COLOR_DE_CARCASA";1717837;"COLOR: BLANCO";"COLOR: BLANCO";"COLOR: BLANCO";"COLOR";"BLANCO"
2750;"24E";"000000024E";"MEMORIA FLASH USB";26912;"COLOR_DE_CARCASA";1720219;"COLOR: AZUL CON NEGRO";"COLOR: AZUL CON NEGRO";"COLOR: AZUL CON NEGRO";"COLOR";"AZUL CON NEGRO"
2751;"24F";"000000024F";"MEMORIA FLASH USB";26913;"DISEÑO_DE_PRODUCTO";1717838;"DISEÑO: CON TAPA EN CONECTOR";"DISEÑO: CON TAPA EN CONECTOR";"DISEÑO: CON TAPA EN CONECTOR";"DISEÑO";"CON TAPA EN CONECTOR"
2752;"24G";"000000024G";"MEMORIA FLASH USB";26913;"DISEÑO_DE_PRODUCTO";1717839;"DISEÑO: SIN TAPA EN CONECTOR";"DISEÑO: SIN TAPA EN CONECTOR";"DISEÑO: SIN TAPA EN CONECTOR";"DISEÑO";"SIN TAPA EN CONECTOR"
2753;"24H";"000000024H";"MEMORIA FLASH USB";26913;"DISEÑO_DE_PRODUCTO";1717840;"DISEÑO: TAPA GIRATORIA";"DISEÑO: TAPA GIRATORIA";"DISEÑO: TAPA GIRATORIA";"DISEÑO";"TAPA GIRATORIA"
2754;"24I";"000000024I";"MEMORIA FLASH USB";26913;"DISEÑO_DE_PRODUCTO";1717843;"DISEÑO: RETRACTIL";"DISEÑO: RETRACTIL";"DISEÑO: RETRACTIL";"DISEÑO";"RETRACTIL"
2755;"24J";"000000024J";"MEMORIA FLASH USB";26913;"DISEÑO_DE_PRODUCTO";1717845;"DISEÑO: TIPO COLGADOR";"DISEÑO: TIPO COLGADOR";"DISEÑO: TIPO COLGADOR";"DISEÑO";"TIPO COLGADOR"
2756;"24K";"000000024K";"MEMORIA FLASH USB";26916;"GARANTIA_DE_FABRICA";1717857;"G.F: 36 MESES CARRY IN";"G.F: 36 MESES CARRY IN";"G.F: 36 MESES CARRY IN";"G.F";"36 MESES CARRY IN"
2757;"24L";"000000024L";"MEMORIA FLASH USB";26916;"GARANTIA_DE_FABRICA";1717863;"G.F: 48 MESES CARRY IN";"G.F: 48 MESES CARRY IN";"G.F: 48 MESES CARRY IN";"G.F";"48 MESES CARRY IN"
2758;"24M";"000000024M";"MEMORIA FLASH USB";26916;"GARANTIA_DE_FABRICA";1720223;"G.F: 60 MESES CARRY IN";"G.F: 60 MESES CARRY IN";"G.F: 60 MESES CARRY IN";"G.F";"60 MESES CARRY IN"
2759;"24N";"000000024N";"MEMORIA FLASH USB";26917;"EMPAQUE_DE_FABRICA";1717867;"EMPAQUE: BLISTER";"EMPAQUE: BLISTER";"EMPAQUE: BLISTER";"EMPAQUE";"BLISTER"
2760;"24O";"000000024O";"MEMORIA FLASH USB";26917;"EMPAQUE_DE_FABRICA";1720674;"EMPAQUE: OTRO";"EMPAQUE: OTRO";"EMPAQUE: OTRO";"EMPAQUE";"OTRO"
2761;"24P";"000000024P";"MEMORIA FLASH USB";26917;"EMPAQUE_DE_FABRICA";1720673;"EMPAQUE: CAJA";"EMPAQUE: CAJA";"EMPAQUE: CAJA";"EMPAQUE";"CAJA"
2762;"24Q";"000000024Q";"MEMORIA FLASH USB";26914;"SISTEMAS_OPERATIVOS_COMPATIBLES";1717852;"S.O. COMPATIBLE: LINUX";"S.O. COMPATIBLE: LINUX";"S.O. COMPATIBLE: LINUX";"S.O. COMPATIBLE";"LINUX"
2763;"24R";"000000024R";"MEMORIA FLASH USB";26914;"SISTEMAS_OPERATIVOS_COMPATIBLES";1717851;"S.O. COMPATIBLE: WINDOWS";"S.O. COMPATIBLE: WINDOWS";"S.O. COMPATIBLE: WINDOWS";"S.O. COMPATIBLE";"WINDOWS"
2764;"24S";"000000024S";"MEMORIA FLASH USB";26914;"SISTEMAS_OPERATIVOS_COMPATIBLES";1717853;"S.O. COMPATIBLE: MAC";"S.O. COMPATIBLE: MAC";"S.O. COMPATIBLE: MAC";"S.O. COMPATIBLE";"MAC"
2765;"24T";"000000024T";"MEMORIA FLASH USB";26914;"SISTEMAS_OPERATIVOS_COMPATIBLES";1717854;"S.O. COMPATIBLE: ANDROID";"S.O. COMPATIBLE: ANDROID";"S.O. COMPATIBLE: ANDROID";"S.O. COMPATIBLE";"ANDROID"
2766;"24U";"000000024U";"MEMORIA FLASH USB";26918;"CERTIFICACION";1717868;"CERTIFICACION: ROHS";"CERTIFICACION: ROHS";"CERTIFICACION: ROHS";"CERTIFICACION";"ROHS"
2767;"24V";"000000024V";"MEMORIA FLASH USB";26918;"CERTIFICACION";1717869;"CERTIFICACION: FCC";"CERTIFICACION: FCC";"CERTIFICACION: FCC";"CERTIFICACION";"FCC"
2768;"24W";"000000024W";"MEMORIA FLASH USB";26918;"CERTIFICACION";1717871;"CERTIFICACION: CE";"CERTIFICACION: CE";"CERTIFICACION: CE";"CERTIFICACION";"CE"
2769;"24X";"000000024X";"PANTALLA INTERACTIVA";26281;"PANTALLA";1677536;"PANTALLA: LED TACTIL 75.0'' 3840x2160 PIXELES";"PANTALLA: LED TACTIL 75.0"" 3840x2160 PIXELES";"PANTALLA: LED TACTIL 75.0"" 3840x2160 PIXELES";"PANTALLA";"LED TACTIL 75.0"" 3840x2160 PIXELES"
2770;"24Y";"000000024Y";"PANTALLA INTERACTIVA";26281;"PANTALLA";1677537;"PANTALLA: LED TACTIL 85.0'' 3840x2160 PIXELES";"PANTALLA: LED TACTIL 85.0"" 3840x2160 PIXELES";"PANTALLA: LED TACTIL 85.0"" 3840x2160 PIXELES";"PANTALLA";"LED TACTIL 85.0"" 3840x2160 PIXELES"
2771;"24Z";"000000024Z";"PANTALLA INTERACTIVA";26281;"PANTALLA";1677538;"PANTALLA: LED TACTIL 55.0"" 3840X2160 PIXELES";"PANTALLA: LED TACTIL 55.0"" 3840X2160 PIXELES";"PANTALLA: LED TACTIL 55.0"" 3840X2160 PIXELES";"PANTALLA";"LED TACTIL 55.0"" 3840X2160 PIXELES"
2772;"250";"0000000250";"PANTALLA INTERACTIVA";26281;"PANTALLA";1677539;"PANTALLA: LCD 70.0"" 1920X1080 PIXELES";"PANTALLA: LCD 70.0"" 1920X1080 PIXELES";"PANTALLA: LCD 70.0"" 1920X1080 PIXELES";"PANTALLA";"LCD 70.0"" 1920X1080 PIXELES"
2773;"251";"0000000251";"PANTALLA INTERACTIVA";26281;"PANTALLA";1677540;"PANTALLA: LED TACTIL 65.0"" 1920X1080 PIXELES";"PANTALLA: LED TACTIL 65.0"" 1920X1080 PIXELES";"PANTALLA: LED TACTIL 65.0"" 1920X1080 PIXELES";"PANTALLA";"LED TACTIL 65.0"" 1920X1080 PIXELES"
2774;"252";"0000000252";"PANTALLA INTERACTIVA";26281;"PANTALLA";1677541;"PANTALLA: LCD 65.5"" 1920x1080 PIXELES";"PANTALLA: LCD 65.5"" 1920x1080 PIXELES";"PANTALLA: LCD 65.5"" 1920x1080 PIXELES";"PANTALLA";"LCD 65.5"" 1920x1080 PIXELES"
2775;"253";"0000000253";"PANTALLA INTERACTIVA";26281;"PANTALLA";1677542;"PANTALLA: LCD 75.0"" 1920X1080 PIXELES";"PANTALLA: LCD 75.0"" 1920X1080 PIXELES";"PANTALLA: LCD 75.0"" 1920X1080 PIXELES";"PANTALLA";"LCD 75.0"" 1920X1080 PIXELES"
2776;"254";"0000000254";"PANTALLA INTERACTIVA";26281;"PANTALLA";1677543;"PANTALLA: LCD 84.0"" 3840X2160 PIXELES";"PANTALLA: LCD 84.0"" 3840X2160 PIXELES";"PANTALLA: LCD 84.0"" 3840X2160 PIXELES";"PANTALLA";"LCD 84.0"" 3840X2160 PIXELES"
2777;"255";"0000000255";"PANTALLA INTERACTIVA";26281;"PANTALLA";1677544;"PANTALLA: LED 86.0"" 3840X2160 PIXELES";"PANTALLA: LED 86.0"" 3840X2160 PIXELES";"PANTALLA: LED 86.0"" 3840X2160 PIXELES";"PANTALLA";"LED 86.0"" 3840X2160 PIXELES"
2778;"256";"0000000256";"PANTALLA INTERACTIVA";26281;"PANTALLA";1677545;"PANTALLA: LCD TFT 86.0"" 3840X2160 PIXELES";"PANTALLA: LCD TFT 86.0"" 3840X2160 PIXELES";"PANTALLA: LCD TFT 86.0"" 3840X2160 PIXELES";"PANTALLA";"LCD TFT 86.0"" 3840X2160 PIXELES"
2779;"257";"0000000257";"PANTALLA INTERACTIVA";26281;"PANTALLA";1677546;"PANTALLA: LED TACTIL 70.0"" 3840X2160 PIXELES";"PANTALLA: LED TACTIL 70.0"" 3840X2160 PIXELES";"PANTALLA: LED TACTIL 70.0"" 3840X2160 PIXELES";"PANTALLA";"LED TACTIL 70.0"" 3840X2160 PIXELES"
2780;"258";"0000000258";"PANTALLA INTERACTIVA";26281;"PANTALLA";1677547;"PANTALLA: LED TACTIL 86.0"" 3840X2160 PIXELES";"PANTALLA: LED TACTIL 86.0"" 3840X2160 PIXELES";"PANTALLA: LED TACTIL 86.0"" 3840X2160 PIXELES";"PANTALLA";"LED TACTIL 86.0"" 3840X2160 PIXELES"
2781;"259";"0000000259";"PANTALLA INTERACTIVA";26281;"PANTALLA";1677548;"PANTALLA: LED TACTIL 85.6"" 3840X2160 PIXELES";"PANTALLA: LED TACTIL 85.6"" 3840X2160 PIXELES";"PANTALLA: LED TACTIL 85.6"" 3840X2160 PIXELES";"PANTALLA";"LED TACTIL 85.6"" 3840X2160 PIXELES"
2782;"25A";"000000025A";"PANTALLA INTERACTIVA";26281;"PANTALLA";1677549;"PANTALLA: LCD TACTIL 55.0"" 3840X2160 PIXELES";"PANTALLA: LCD TACTIL 55.0"" 3840X2160 PIXELES";"PANTALLA: LCD TACTIL 55.0"" 3840X2160 PIXELES";"PANTALLA";"LCD TACTIL 55.0"" 3840X2160 PIXELES"
2783;"25B";"000000025B";"PANTALLA INTERACTIVA";26281;"PANTALLA";1677550;"PANTALLA: LCD TFT 85.0"" 3840X2160 PIXELES";"PANTALLA: LCD TFT 85.0"" 3840X2160 PIXELES";"PANTALLA: LCD TFT 85.0"" 3840X2160 PIXELES";"PANTALLA";"LCD TFT 85.0"" 3840X2160 PIXELES"
2784;"25C";"000000025C";"PANTALLA INTERACTIVA";26281;"PANTALLA";1677551;"PANTALLA: LED TACTIL 90.0"" 3840X2160 PIXELES";"PANTALLA: LED TACTIL 90.0"" 3840X2160 PIXELES";"PANTALLA: LED TACTIL 90.0"" 3840X2160 PIXELES";"PANTALLA";"LED TACTIL 90.0"" 3840X2160 PIXELES"
2785;"25D";"000000025D";"PANTALLA INTERACTIVA";26281;"PANTALLA";1677552;"PANTALLA: LCD TFT 75.0"" 3840X2160 PIXELES";"PANTALLA: LCD TFT 75.0"" 3840X2160 PIXELES";"PANTALLA: LCD TFT 75.0"" 3840X2160 PIXELES";"PANTALLA";"LCD TFT 75.0"" 3840X2160 PIXELES"
